Category,Item,Unit,Unit_Price,Quantity,Total_Price,Status,Note
Mercearia / Básicos,Pão,unit,€1.19,2,€2.38,NÃO TEM,
Mercearia / Básicos,Manteiga,unit,€2.99,1,€2.99,TEM,
Mercearia / Básicos,4 Leite normal,unit,€0.86,1.5,€1.72,TEM,
Mercearia / Básicos,Manteiga de amendoim (0.34 kg),0.34 kg,€1.79,1,€1.79,TEM,
Mercearia / Básicos,2 LATAS DE Feijão,unit,€0.84,1,€0.84,NÃO TEM,
Mercearia / Básicos,Leite Moça,,,,,NÃO TEM,
Mercearia / Básicos,Aveia,,,,,,
Mercearia / Básicos,Carne de Hambúrger,Burger,,,,NÃO É NECESSÁRIO,
Mercearia / Básicos,Pão de Hamburger,,,,,MUITO CARO,QUERO UYMA ZONA PARA GROCERRY SHOPPING
Hortofrutícolas,Banana (1 kg),1 kg,€1.29,1,€1.29,NÃO TEM,
Hortofrutícolas,Dente de Alho,250 g,€1.79,1,€1.79,NÃO TEM,
Hortofrutícolas,Pimentos (1 kg),1 kg,€2.29,1,€2.29,NÃO TEM,
Hortofrutícolas,Milho,0.285 Kg,€1.09,1,€1.09,NÃO TEM,
Laticínios / Frigorífico,Ovos de Solo Classe M (12 unid.),12 unid.,€3.09,2,€6.18,NÃO TEM,
Laticínios / Frigorífico,Queijo,unit,,1,,NÃO TEM,
Enlatados / Bebidas,Atum posta ao natural (85 ml),85 ml,€0.89,2,€1.78,NÃO TEM,
Enlatados / Bebidas,Sumo (1.5 L),1.5 L,€0.55,2,€1.10,NÃO TEM,
Charcutaria / Secos / Snacks,Fiambre,unit,,1,,NÃO TEM,
Casa / Limpeza / Higiene,Detergente loiça manual clássico (1 L),1 L,€0.89,1,€0.89,NÃO TEM,
Casa / Limpeza / Higiene,Papel higiénico 2 folhas (12 rolos),12 rolos,€2.59,1,€2.59,NÃO TEM,
Casa / Limpeza / Higiene,Sacos de lixo,unit,,1,,NÃO TEM,
Casa / Limpeza / Higiene,Amaciador roupa lavanda,80 Dos,€1.85,1,€1.85,QUASE A ACABAR,
